date;quarter;department;day;team;targeted_productivity;smv;total_work;wip;over_time;incentive;idle_time;idle_men;no_of_style_change;no_of_workers;actual_productivity
01/01/2015;Quarter1;sweing;Thursday;8;0.8;26.16;19876.0;1108.0;7080;98;0.0;0;No;59;0.940725424
01/01/2015;Quarter1;finishing;Thursday;1;0.75;3.94;21791.0;;960;0;0.0;0;No;8;0.8865
01/01/2015;Quarter1;sweing;Thursday;11;0.8;11.41;5513.0;968.0;3660;50;0.0;0;No;31;0.800570492
01/01/2015;Quarter1;sweing;Thursday;12;0.8;11.41;23582.0;968.0;3660;50;0.0;0;No;31;0.800570492
01/01/2015;Quarter1;sweing;Thursday;6;0.8;25.9;;1170.0;1920;50;0.0;0;No;56;0.800381944
01/01/2015;Quarter1;sweing;Thursday;7;0.8;25.9;;984.0;6720;38;0.0;0;No;56;0.800125
01/01/2015;Quarter1;finishing;Thursday;2;0.75;3.94;12643.0;;960;0;0.0;0;No;8;0.755166667
01/01/2015;Quarter1;sweing;Thursday;3;0.75;28.08;12035.0;795.0;6900;45;0.0;0;No;58;0.753683478
01/01/2015;Quarter1;sweing;Thursday;2;0.75;19.87;8278.0;733.0;6000;34;0.0;0;No;55;0.753097531
01/01/2015;Quarter1;sweing;Thursday;1;0.75;28.08;9318.0;681.0;6900;45;0.0;0;No;58;0.750427826
01/01/2015;Quarter1;sweing;Thursday;9;;28.08;12518.0;872.0;6900;44;0.0;0;No;58;0.721126957
01/01/2015;Quarter1;sweing;Thursday;10;0.75;19.31;12260.0;578.0;6480;45;0.0;0;No;54;0.712205247
01/01/2015;Quarter1;sweing;Thursday;5;0.8;11.41;17346.0;668.0;3660;50;0.0;0;No;31;0.707045902
01/01/2015;Quarter1;finishing;Thursday;10;0.65;3.94;14021.0;;960;0;0.0;0;No;8;0.705916667
01/01/2015;Quarter1;finishing;Thursday;8;0.75;2.9;14159.0;;960;0;0.0;0;No;8;0.676666667
01/01/2015;Quarter1;finishing;Thursday;4;0.75;3.94;22607.0;;2160;0;0.0;0;No;18;0.593055556
01/01/2015;Quarter1;finishing;Thursday;7;0.8;2.9;10710.0;;a;0;0.0;0;No;8;0.540729167
01/01/2015;Quarter1;sweing;Thursday;4;0.65;23.69;11997.0;861.0;7200;0;0.0;0;No;60;0.52118
01/01/2015;Quarter1;finishing;Thursday;11;0.7;4.15;11579.0;;1440;0;0.0;0;No;12;0.436326389
01/03/2015;Quarter1;finishing;Saturday;4;0.8;4.15;16000.0;;6600;0;0.0;0;No;20;0.988024691
01/03/2015;Quarter1;finishing;Saturday;11;0.75;2.9;162.0;;5640;0;0.0;0;No;17;0.987880435
01/03/2015;Quarter1;finishing;Saturday;9;0.8;4.15;8801.0;;960;0;0.0;0;No;8;0.956270833
01/03/2015;Quarter1;finishing;Saturday;3;0.75;3.94;21610.0;;c;0;0.0;0;No;8;0.945277778
01/03/2015;Quarter1;finishing;Saturday;1;0.8;3.94;24663.0;;960;0;0.0;0;No;8;0.902916667
01/03/2015;Quarter1;sweing;Saturday;1;0.8;28.08;21782.0;772.0;6300;50;0.0;0;No;57;0.800725314
01/03/2015;Quarter1;sweing;Saturday;3;0.8;28.08;14911.0;913.0;6540;50;0.0;0;No;55;0.800322936
01/03/2015;Quarter1;sweing;Saturday;8;0.8;26.16;14731.0;1261.0;;50;0.0;0;No;59;0.800318644
01/03/2015;Quarter1;sweing;Saturday;12;0.8;26.16;3742.0;844.0;;63;0.0;0;No;59;0.800318644
01/03/2015;Quarter1;sweing;Saturday;11;0.8;11.61;24746.0;1005.0;7080;50;0.0;0;No;30;0.800237288
01/03/2015;Quarter1;sweing;Saturday;5;0.8;11.61;4887.0;659.0;7080;50;0.0;0;No;32;0.800148649
01/03/2015;Quarter1;sweing;Saturday;6;0.8;25.9;5170.0;1152.0;6720;50;0.0;0;No;56;0.800125
01/03/2015;Quarter1;sweing;Saturday;7;0.8;25.9;10213.0;1138.0;6720;38;0.0;0;No;56;0.800125
01/03/2015;Quarter1;sweing;Saturday;10;0.75;19.31;5159.0;610.0;6480;56;0.0;0;No;54;0.787299691
01/03/2015;Quarter1;finishing;Saturday;2;0.8;4.15;;;960;0;0.0;0;No;8;0.782447917
01/03/2015;Quarter1;sweing;Saturday;2;0.75;19.87;;944.0;6600;45;0.0;0;No;55;0.75024303
01/03/2015;Quarter1;finishing;Saturday;10;0.7;4.15;;;960;0;0.0;0;No;8;0.7018125
01/03/2015;Quarter1;sweing;Saturday;4;0.7;23.69;23354.0;544.0;13800;0;0.0;0;No;60;0.700134038
01/03/2015;Quarter1;sweing;Saturday;9;0.7;28.08;22181.0;1072.0;6900;40;0.0;0;No;58;0.699965217
01/03/2015;Quarter1;finishing;Saturday;8;0.8;2.9;24381.0;;960;0;0.0;0;No;8;0.628333333
01/03/2015;Quarter1;finishing;Saturday;7;0.8;3.94;13265.0;;960;0;0.0;0;No;8;0.6253125
01/04/2015;Quarter1;finishing;Sunday;3;0.75;4.15;13242.0;;1560;0;0.0;0;No;8;0.991388889
01/04/2015;Quarter1;finishing;Sunday;9;0.8;3.94;5169.0;;960;0;0.0;0;No;8;0.931645833
01/04/2015;Quarter1;finishing;Sunday;1;0.8;3.94;2372.0;;960;0;0.0;0;No;8;0.915229167
01/04/2015;Quarter1;sweing;Sunday;6;0.8;11.61;18756.0;539.0;6975;50;0.0;0;No;31;0.879714482
01/04/2015;Quarter1;finishing;Sunday;4;0.8;3.94;5125.0;;6600;0;0.0;0;No;20;0.861679012
01/04/2015;Quarter1;sweing;Sunday;9;0.8;26.16;3494.0;1278.0;7080;60;0.0;0;No;59;0.850569492
01/04/2015;Quarter1;sweing;Sunday;7;0.8;25.9;13013.0;1227.0;7020;60;0.0;0;No;57;0.850436438
01/04/2015;Quarter1;sweing;Sunday;8;0.8;25.9;24160.0;1039.0;6780;45;0.0;0;No;57;0.850345133
01/04/2015;Quarter1;sweing;Sunday;4;0.8;28.08;2820.0;878.0;4260;50;0.0;0;No;56;0.800598058
01/04/2015;Quarter1;sweing;Sunday;1;0.8;26.16;6382.0;1033.0;7080;63;0.0;0;No;59;0.800318644
01/04/2015;Quarter1;sweing;Sunday;2;0.8;28.08;5881.0;782.0;6660;50;0.0;0;No;56;0.800237838
01/04/2015;Quarter1;sweing;Sunday;12;0.8;11.61;21915.0;1216.0;6975;50;0.0;0;No;31;0.800030199
01/04/2015;Quarter1;finishing;Sunday;2;0.8;3.94;7513.0;;960;0;0.0;0;No;8;0.792104167
01/04/2015;Quarter1;finishing;Sunday;10;0.7;3.94;14386.0;;4320;0;0.0;0;No;18;0.759228395
01/04/2015;Quarter1;sweing;Sunday;11;0.75;19.31;16701.0;513.0;6480;45;0.0;0;No;54;0.750348457
01/04/2015;Quarter1;sweing;Sunday;3;0.75;19.87;17258.0;734.0;6600;45;0.0;0;No;55;0.75024303
01/04/2015;Quarter1;sweing;Sunday;10;0.7;28.08;3579.0;1202.0;6900;40;0.0;0;No;58;0.699965217
01/04/2015;Quarter1;finishing;Sunday;8;0.8;2.9;4910.0;;960;0;0.0;0;No;8;0.682708333
01/04/2015;Quarter1;finishing;Sunday;7;0.8;2.9;4120.0;;960;0;0.0;0;No;8;0.667604167
01/04/2015;Quarter1;;Sunday;5;0.7;45.67;22173.0;884.0;6960;26;0.0;0;No;58;0.603432184
01/04/2015;Quarter1;;Sunday;11;0.75;4.15;588.0;;960;0;0.0;0;No;8;0.345833333
01/05/2015;Quarter1;finishing;Monday;1;0.8;3.94;10718.0;;1920;0;0.0;0;No;8;0.961059028
01/05/2015;Quarter1;finishing;Monday;11;0.8;3.94;23443.0;;2400;0;0.0;0;No;10;0.939513889
01/05/2015;Quarter1;finishing;Monday;4;0.8;3.94;20946.0;;3840;0;0.0;0;No;16;0.893663194
01/05/2015;Quarter1;finishing;Monday;3;0.75;4.15;3952.0;;1920;0;0.0;0;No;8;0.875390625
01/05/2015;Quarter1;sweing;Monday;9;0.8;26.16;6499.0;1227.0;7080;75;0.0;0;No;59;0.850569492
01/05/2015;Quarter1;finishing;Monday;9;0.8;2.9;8776.0;;1920;0;0.0;0;No;8;0.820833333
01/05/2015;Quarter1;finishing;Monday;2;0.8;3.94;3678.0;;960;0;0.0;0;No;8;0.804416667
01/05/2015;Quarter1;sweing;Monday;7;0.8;25.9;17476.0;1255.0;6780;50;0.0;0;No;57;0.800684366
01/05/2015;Quarter1;sweing;Monday;8;0.8;25.9;22851.0;1047.0;6780;38;0.0;0;No;57;0.800684366
01/05/2015;Quarter1;sweing;Monday;1;0.8;26.16;5080.0;1138.0;7080;63;0.0;0;No;59;0.800318644
01/05/2015;Quarter1;sweing;Monday;11;0.8;19.31;2355.0;678.0;4800;50;0.0;0;No;55;0.800250962
01/05/2015;Quarter1;sweing;Monday;6;0.8;11.61;20150.0;712.0;7200;50;0.0;0;No;32;0.800246011
01/05/2015;Quarter1;sweing;Monday;12;0.8;11.61;8355.0;1037.0;7200;50;0.0;0;No;32;0.800246011
01/05/2015;Quarter1;sweing;Monday;2;0.8;28.08;;757.0;6900;50;0.0;0;No;58;0.800076522
